"label","secondary_label","percent"
"[2,3)","[16,21)",0.05946380725056277780
"[2,3)","[21,26)",0.06171930812027796419
"[2,3)","[26,31)",0.05875348459394096036
"[2,3)","[31,46)",0.05898066529570420279
"[2,3)","[46,61)",0.05580113724879264683
"[2,3)","[61,76)",0.05574523432101776206
"[2,3)","[76,91)",0.04852674676152761930
"[2,3)","[91,)",0.04281942585155436561
"[3,4)","[0,1)",0.06507478995887032981
"[3,4)","[1,2)",0.06459030779731530536
"[3,4)","[2,3)",0.05570356199954123833
"[3,4)","[3,4)",0.05549146124827292870
"[3,4)","[4,5)",0.06024766424440160166
"[3,4)","[5,6)",0.05859188104964852232
"[3,4)","[6,7)",0.05920370853802279865
"[3,4)","[7,8)",0.06377763926598138542
"[3,4)","[8,9)",0.06093501537156789993
"[3,4)","[9,10)",0.06417379922750195691
"[3,4)","[10,11)",0.05782369374602384311
"[3,4)","[11,16)",0.05936945176736428687
"[3,4)","[16,21)",0.05995999185212654274
"[3,4)","[21,26)",0.06113480397462819042
"[3,4)","[26,31)",0.05926117377739213913
"[3,4)","[31,46)",0.05727557378912668313
"[3,4)","[46,61)",0.05587903100171366256
"[3,4)","[61,76)",0.05062390765353818640
"[3,4)","[76,91)",0.04272098798577085710
"[3,4)","[91,)",0.03757623084932321880
"[4,5)","[0,1)",0.04001042331799673376
"[4,5)","[1,2)",0.04686027236974680664
"[4,5)","[2,3)",0.04196769778100276906
"[4,5)","[3,4)",0.04602836149930639148
"[4,5)","[4,5)",0.04962347784533755170
"[4,5)","[5,6)",0.04753492431531517322
"[4,5)","[6,7)",0.05312828788633900531
"[4,5)","[7,8)",0.05499857379802867194
"[4,5)","[8,9)",0.05126682921658009117
"[4,5)","[9,10)",0.05252216761411027987
"[4,5)","[10,11)",0.05244378059912040495
"[4,5)","[11,16)",0.05361658301885342290
"[4,5)","[16,21)",0.05519661967711439928
"[4,5)","[21,26)",0.05669690212802805620
"[4,5)","[26,31)",0.05409197481861650082
"[4,5)","[31,46)",0.05160743626574626172
"[4,5)","[46,61)",0.05039725813989718025
"[4,5)","[61,76)",0.04818518066902410275
"[4,5)","[76,91)",0.04268742868648902611
"[4,5)","[91,)",0.03393202439387178343
"[5,6)","[0,1)",0.03083299682990563980
"[5,6)","[1,2)",0.03613449475086943803
"[5,6)","[2,3)",0.03275048612245938235
"[5,6)","[3,4)",0.03828885806184374765
"[5,6)","[4,5)",0.04047407187700825547
"[5,6)","[5,6)",0.04220360994127141858
"[5,6)","[6,7)",0.04511474476113629352
"[5,6)","[7,8)",0.04699071384049779731
"[5,6)","[8,9)",0.04784267995335524223
"[5,6)","[9,10)",0.04796673895468952508
"[5,6)","[10,11)",0.04815644621469864188
"[5,6)","[11,16)",0.05033087641900252865
"[5,6)","[16,21)",0.05406322958722664146
"[5,6)","[21,26)",0.05196314015832124636
"[5,6)","[26,31)",0.05089814831908726716
"[5,6)","[31,46)",0.04961816284140582211
"[5,6)","[46,61)",0.04831360024926000935
"[5,6)","[61,76)",0.04515709466325244889
"[5,6)","[76,91)",0.03785488958990536278
"[5,6)","[91,)",0.03067826863007585899
"[6,7)","[0,1)",0.02215485523058938824
"[6,7)","[1,2)",0.02600188513667240875
"[6,7)","[2,3)",0.02622287721528665858
"[6,7)","[3,4)",0.03008231562384456497
"[6,7)","[4,5)",0.03288183630761118526
"[6,7)","[5,6)",0.03464302801831784939
"[6,7)","[6,7)",0.03916589537302924587
"[6,7)","[7,8)",0.04315581520648235207
"[6,7)","[8,9)",0.03801547757871302873
"[6,7)","[9,10)",0.04214092314799368656
"[6,7)","[10,11)",0.04200204685641578845
"[6,7)","[11,16)",0.04390165169204282563
"[6,7)","[16,21)",0.04535127258292811591
"[6,7)","[21,26)",0.04541813694715649557
"[6,7)","[26,31)",0.04274742924658925176
"[6,7)","[31,46)",0.04355217063315731278
"[6,7)","[46,61)",0.04372760554603520798
"[6,7)","[61,76)",0.04204771775799699224
"[6,7)","[76,91)",0.03896234646620578562
"[6,7)","[91,)",0.02861445783132530120
"[7,8)","[0,1)",0.01726544384967878013
"[7,8)","[1,2)",0.01960704651087203822
"[7,8)","[2,3)",0.02105206345303614772
"[7,8)","[3,4)",0.02605688423826773011
"[7,8)","[4,5)",0.02768302931435068466
"[7,8)","[5,6)",0.03035799723444638980
"[7,8)","[6,7)",0.03422961609353616378
"[7,8)","[7,8)",0.03493666606801398734
"[7,8)","[8,9)",0.03494116399872787024
"[7,8)","[9,10)",0.03540402160941369708
"[7,8)","[10,11)",0.03572317649987552900
"[7,8)","[11,16)",0.03760308664273801197
"[7,8)","[16,21)",0.04084905019821269084
"[7,8)","[21,26)",0.04090085799435700936
"[7,8)","[26,31)",0.03852899366773127550
"[7,8)","[31,46)",0.03903626161270654858
"[7,8)","[46,61)",0.03983291789998442125
"[7,8)","[61,76)",0.03491444132829329757
"[7,8)","[76,91)",0.03580777233371367206
"[7,8)","[91,)",0.02675516882344191581
"[8,9)","[0,1)",0.01405888113770648547
"[8,9)","[1,2)",0.01569051256216075665
"[8,9)","[2,3)",0.01785122628794341340
"[8,9)","[3,4)",0.02064423582133534234
"[8,9)","[4,5)",0.02233180087992486035
"[8,9)","[5,6)",0.02502668286040263516
"[8,9)","[6,7)",0.02648503690343403659
"[8,9)","[7,8)",0.03149265241873289878
"[8,9)","[8,9)",0.02988444821371779922
"[8,9)","[9,10)",0.03233712738518394949
"[8,9)","[10,11)",0.03064752579315686112
"[8,9)","[11,16)",0.03428663658932126140
"[8,9)","[16,21)",0.03551637148035370128
"[8,9)","[21,26)",0.03520013854913082069
"[8,9)","[26,31)",0.03286133623793084350
"[8,9)","[31,46)",0.03473736423854746871
"[8,9)","[46,61)",0.03316326530612244898
"[8,9)","[61,76)",0.03292281429094012925
"[8,9)","[76,91)",0.03043828444862071280
"[8,9)","[91,)",0.02324111259854231742
"[9,10)","[0,1)",0.01140597431169301339
"[9,10)","[1,2)",0.01302531933565183476
"[9,10)","[2,3)",0.01388428711284487709
"[9,10)","[3,4)",0.01668552429297801303
"[9,10)","[4,5)",0.01919686259001104026
"[9,10)","[5,6)",0.02054711693664989458
"[9,10)","[6,7)",0.02392196881600493628
"[9,10)","[7,8)",0.02750985135806121048
"[9,10)","[8,9)",0.02327997455740485530
"[9,10)","[9,10)",0.02837197962247686997
"[9,10)","[10,11)",0.02764639172406162697
"[9,10)","[11,16)",0.03023234365032395914
"[9,10)","[16,21)",0.03112905500336883229
"[9,10)","[21,26)",0.03038699947322465886
"[9,10)","[26,31)",0.02919674340465597135
"[9,10)","[31,46)",0.03060897601504614081
"[9,10)","[46,61)",0.03218959339460975230
"[9,10)","[61,76)",0.02631792870788115270
"[9,10)","[76,91)",0.03003557285723874086
"[9,10)","[91,)",0.01766324557489216124
"[10,11)","[0,1)",0.01092857043398001667
"[10,11)","[1,2)",0.01014073520330223941
"[10,11)","[2,3)",0.01178087983292679453
"[10,11)","[3,4)",0.01398615006963885097
"[10,11)","[4,5)",0.01646563514426483431
"[10,11)","[5,6)",0.01828104544235713497
"[10,11)","[6,7)",0.01902524305637958722
"[10,11)","[7,8)",0.02272415140982705981
"[10,11)","[8,9)",0.02180642425527403795
"[10,11)","[9,10)",0.02363690025536064880
"[10,11)","[10,11)",0.02644317207424003541
"[10,11)","[11,16)",0.02697353757234318917
"[10,11)","[16,21)",0.02765576279242247768
"[10,11)","[21,26)",0.02669235598467300240
"[10,11)","[26,31)",0.02760906086731773958
"[10,11)","[31,46)",0.02857320009507176885
"[10,11)","[46,61)",0.02799306745599002960
"[10,11)","[61,76)",0.02680567410478396943
"[10,11)","[76,91)",0.02513591516209141553
"[10,11)","[91,)",0.02169790272199910754
"[11,16)","[0,1)",0.03073287462777416410
"[11,16)","[1,2)",0.03274612409399681477
"[11,16)","[2,3)",0.03754199693259351767
"[11,16)","[3,4)",0.04607840139222102065
"[11,16)","[4,5)",0.05291083757641669550
"[11,16)","[5,6)",0.05688838414906649421
"[11,16)","[6,7)",0.06520002214997112593
"[11,16)","[7,8)",0.07347581267101218082
"[11,16)","[8,9)",0.06804834093077493904
"[11,16)","[9,10)",0.07363112576832758023
"[11,16)","[10,11)",0.07685392636848947529
"[11,16)","[11,16)",0.08486730356854637266
"[11,16)","[16,21)",0.09255148568115699803
"[11,16)","[21,26)",0.08921986736807164145
"[11,16)","[26,31)",0.09446711097162479000
"[11,16)","[31,46)",0.09876096683855366905
"[11,16)","[46,61)",0.09587747312665524225
"[11,16)","[61,76)",0.09011096207779539081
